blenderin;blenderout;qgisin;qgisout;unityin;unityout;terrascanin;terrascanout;infraworksin;infraworksout;rhinoin;rhinoout;revitin;revitout;leapfrogin;leapfrogout;civil3din;civil3dout;fusion360in;fusion360out;nirain;niraout;3dsmaxin;3dsmaxout;agisoftin;agisoftout;pix4din;pix4dout;twinmotionin;twinmotionout;realitycapturein;realitycaptureout;contextcapturein;contextcaptureout;cloudcomparein;cloudcompareout;meshmixerin;meshmixerout;meshlabin;meshlabout;recapin;recapout;cyclonerin;cyclonerout
;;;;;;;;HGT;;TXT;PLY;;;SRG;;;;;;GIF;;DLV3;;BMP;DAE;;;E57;;;EXR;;;GEOTIFF;;;;;;;;;
;;;;;;;;DOQ;;RAW;TXT;;;TAB;;;;;;TGA;;DLV4;;GEOTIFF;STL;;;LAS;;;TIF;;;TIFF;;;;;;;;;
;;;;;;;;ECW;;PTS;POV;;;TIF;;;;;;EXR;;OBJ;;KML;DXF;;;LAZ;;;WDP;;;PV;;;;;;;;;
;;;;;;;;IMG;;SVG;RAW;;;TXT;;;;;;BMP;;PRT;;;FBX;;;;;;JXR;;;PN;;;;;;;;;
;;;;;;;;JPG;;SKP;RIB;;;XML;;;;;;DDS;;NEU;;;WRL;;;;;;DDS;;;POV;;;;;;;;;
;;;;;;;;PNG;;SLC;SVG;;;;;;;;;PSD;;G;;;KMZ;;;;;;KML;;;ICM;;;;;;;;;
;;;;;;;;SID;;SLDPRT;SKP;;;;;;;;;;;ASM;;;GEOTIFF;;;;;;KMZ;;;GEOREF;;;;;;;;;
;;;;;;;;TIFF;;STP;SLC;;;;;;;;;;;RVT;;;MBTiles;;;;;;WMW;;;SX;;;;;;;;;
;;;;;;;;WMS;;STL;SPEP;;;;;;;;;;;SAT;;;ASC;;;;;;MP4;;;CSV;;;;;;;;;
;;;;;;;;VRT;;VDA;STL;;;;;;;;;;;SHP;;;BIL;;;;;;;;;;;;;;;;;;
;;;;;;;;ZIP;;VRML;VDA;;;;;;;;;;;SKP;;;TLS;;;;;;;;;;;;;;;;;;
;;;;;;;;GZ;;GDF;VRML;;;;;;;;;;;SLDPRT;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;SDF;;STEP;GDF;;;;;;;;;;;SLDASM;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;SHP;;SLDASM;WMF;;;;;;;;;;;STL;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;SKP;;XYZ;X3D;;;;;;;;;;;STP;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;SDX;;;XAML;;;;;;;;;;;STEP;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;SQLITE;;;XGL;;;;;;;;;;;TRC;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;DB;;;ZPR;;;;;;;;;;;USD;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;WEMF;;;;;;;;;;;USDA;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;USDC;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;WIRE;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;WRL;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;WRZ;;;;;;;;;;;;;;;;;;;;;
